,value,smiles,cano_smiles
0,-3.7058823529411766,CC1=CC=C(O1)C(C(=O)NCC2=CC=CO2)N(C3=CC=C(C=C3)OC)C(=O)CN4C5=CC=CC=C5N=N4,COc1ccc(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NCc2ccco2)c2ccc(C)o2)cc1
1,-5.0,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1
2,1.5882352941176467,CC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCC3=CC=CC=C3)CC4=NN=NN4CC5CCCO5,Cc1ccc2[nH]c(=O)c(CN(CCc3ccccc3)Cc3nnnn3CC3CCCO3)cc2c1
3,-3.1176470588235294,CC1=CC=C(C=C1)CN(C(C2=CC=CS2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,Cc1ccc(CN(C(=O)Cn2nnc3ccccc32)C(C(=O)NCc2ccco2)c2cccs2)cc1
4,-4.411764705882353,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C,CCn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2
5,-5.0,C1=CC=C(C(=C1)C2=NN(N=N2)CC(=O)NCC3=CC=CO3)NC(=O)C4=CC=CC=C4F,O=C(Cn1nnc(-c2ccccc2NC(=O)c2ccccc2F)n1)NCc1ccco1
6,-3.8235294117647056,CC1=CC=C(O1)C(C(=O)NCC2=CC=CO2)N(C3=CC=CC=C3OC)C(=O)CN4C5=CC=CC=C5N=N4 ,COc1ccccc1N(C(=O)Cn1nnc2ccccc21)C(C(=O)NCc1ccco1)c1ccc(C)o1
7,-2.176470588235294,COCCNC(=O)C(C1=CC(=CC=C1)OC)N(CC2=CC=CS2)C(=O)CN3C4=CC=CC=C4N=N3  ,COCCNC(=O)C(c1cccc(OC)c1)N(Cc1cccs1)C(=O)Cn1nnc2ccccc21
8,-1.3529411764705883,CC(=O)NC1=C(C2=NON=C2C(=C1)OC(=O)C)OC(=O)C,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O
9,-4.647058823529412,C1CC2=C(C1)C=C(C=C2)N(C(C3=CC=CO3)C(=O)NCC4=CC=CO4)C(=O)CN5C6=CC=CC=C6N=N5,O=C(NCc1ccco1)C(c1ccco1)N(C(=O)Cn1nnc2ccccc21)c1ccc2c(c1)CCC2
10,-5.0,C1COCCN1C(=O)OC2=CC3=C(C=CC=C3OC(=O)N4CCOCC4)C=C2,O=C(Oc1ccc2cccc(OC(=O)N3CCOCC3)c2c1)N1CCOCC1
11,-5.0,CC(C)NC(=O)CN1CCN(CC1)C2=NC=CC=N2.C(=O)(C(=O)O)O,CC(C)NC(=O)CN1CCN(c2ncccn2)CC1.O=C(O)C(=O)O
12,-3.4705882352941178,COCCNC(=O)C(C1=CC=CC=C1)N(CC2=CC=CS2)C(=O)CN3C4=CC=CC=C4N=N3,COCCNC(=O)C(c1ccccc1)N(Cc1cccs1)C(=O)Cn1nnc2ccccc21
13,-5.0,CC1=CC=C(C=C1)C(=O)CSC2=NN=C(N2CC3=CC=CO3)CNC4=C(C=C(C=C4)C)C,Cc1ccc(C(=O)CSc2nnc(CNc3ccc(C)cc3C)n2Cc2ccco2)cc1
14,-3.8235294117647056,C1=CC=C(C=C1)CN(C(C2=CC=CS2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,O=C(NCc1ccco1)C(c1cccs1)N(Cc1ccccc1)C(=O)Cn1nnc2ccccc21
15,-3.0,C1=CC=C(C=C1)CCN(C(C2=CC=CO2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4 ,O=C(NCc1ccco1)C(c1ccco1)N(CCc1ccccc1)C(=O)Cn1nnc2ccccc21
16,-3.5882352941176467,C1CN(CC2=C1NC3=C2C=C(C=C3)Br)C(=O)CN4CCSCC4,O=C(CN1CCSCC1)N1CCc2[nH]c3ccc(Br)cc3c2C1
17,-3.235294117647059,C1=CC(=CN=C1)OC(=O)C2=CC=C(C=C2)Cl.Cl,Cl.O=C(Oc1cccnc1)c1ccc(Cl)cc1
18,-4.764705882352941,CC1=CC(=CC=C1)N2C(C(C(=C2N)C#N)(C#N)C#N)C3=CC=CC=C3,Cc1cccc(N2C(N)=C(C#N)C(C#N)(C#N)C2c2ccccc2)c1
19,-5.0,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CN2C3=CC=CC=C3N=N2,CCc1cccc(CC)c1N(COC)C(=O)Cn1nnc2ccccc21
20,-4.764705882352941,CC1=C(C(=NN1)C2=C(C=C(C=C2)OCC(=C)C)O)C3=CC=CC=C3,C=C(C)COc1ccc(-c2n[nH]c(C)c2-c2ccccc2)c(O)c1
21,-4.647058823529412,CCN1C(=NN=C1SCC(=O)C(C)(C)C)COC2=CC=CC=C2,CCn1c(COc2ccccc2)nnc1SCC(=O)C(C)(C)C
22,-4.882352941176471,C1=CC=C(C(=C1)C2C3=C(C(=O)N2CC4=CC=CO4)NN=C3C5=CC=CC=C5O)F,O=C1c2[nH]nc(-c3ccccc3O)c2C(c2ccccc2F)N1Cc1ccco1
23,-4.764705882352941,CC1=CC(=NO1)NC(=O)COC(=O)C(C(C)C)NC2=C(C=C(C=C2)C(F)(F)F)Cl,Cc1cc(NC(=O)COC(=O)C(Nc2ccc(C(F)(F)F)cc2Cl)C(C)C)no1
24,-0.2941176470588234,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=C(N=C4N3C=CS4)Cl,O=C(c1c(Cl)nc2sccn12)N1CCN(c2cccc(Cl)c2)CC1
25,-4.882352941176471,COC1=CC(=C(C=C1)C(=O)NN2C=NC3=C(C2=O)C(=CS3)C4=CC=CS4)O,COc1ccc(C(=O)Nn2cnc3scc(-c4cccs4)c3c2=O)c(O)c1
26,-4.529411764705882,CC1(C(=O)N(C(=O)N1)CC(=O)NCC2=CC=CO2)C3=CC4=C(C=C3)C=C(C=C4)OC,COc1ccc2cc(C3(C)NC(=O)N(CC(=O)NCc4ccco4)C3=O)ccc2c1
27,-4.882352941176471,COC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)OC(=N3)NC4=CC5=C(C=C4)OCCO5,COc1ccc(NS(=O)(=O)c2ccc3oc(Nc4ccc5c(c4)OCCO5)nc3c2)cc1
28,-4.647058823529412,CN1C=NC2=C1C=CC(=C2)OC(=O)C3=CC=CC=C3,Cn1cnc2cc(OC(=O)c3ccccc3)ccc21
29,-4.764705882352941,COC1=CC(=C(C=C1)C2=NNC(=C2C3=CC4=CC=CC=C4O3)C(F)(F)F)O,COc1ccc(-c2n[nH]c(C(F)(F)F)c2-c2cc3ccccc3o2)c(O)c1
30,-3.5882352941176467,CC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)N(C=N3)C,Cc1ccc(C(=O)Oc2ccc3c(c2)ncn3C)cc1
31,-3.9411764705882355,C1COCCN1S(=O)(=O)C2=CC=C(S2)CC(=O)NC3=C(C=C(S3)C4=CC=CC=C4)C(=O)N,NC(=O)c1cc(-c2ccccc2)sc1NC(=O)Cc1ccc(S(=O)(=O)N2CCOCC2)s1
32,-4.0588235294117645,CC1=CC=C(C=C1)CN2C(=O)CSC3=C2C=C(C=C3)C(=O)NCCN4CCOCC4 ,Cc1ccc(CN2C(=O)CSc3ccc(C(=O)NCCN4CCOCC4)cc32)cc1
33,-4.882352941176471,COC1=C(C=C(C=C1)C2=NN(C(=C2)N)S(=O)(=O)C3=C(C(=C(C(=C3F)F)F)F)F)OC,COc1ccc(-c2cc(N)n(S(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)n2)cc1OC
34,-0.17647058823529438,CC(=O)C1=C(NC(=C1)C2=CC=CC=C2)N3CCOCC3,CC(=O)c1cc(-c2ccccc2)[nH]c1N1CCOCC1
35,-4.764705882352941,CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)NC3=CC4=C(C=C3)OCO4)CC5=CC=CN5C,Cc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccc3c(c2)OCO3)cc1
36,-5.0,CC1CC2=CC=CC=C2N1C(=O)C3CCCN(C3)S(=O)(=O)C4=CC=CC5=NSN=C54,CC1Cc2ccccc2N1C(=O)C1CCCN(S(=O)(=O)c2cccc3nsnc23)C1
37,-5.0,CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)CN3CCN(CC3)CC4=CC=CC=C4,CCCCCn1c(CN2CCN(Cc3ccccc3)CC2)nc2c1c(=O)[nH]c(=O)n2C
38,-4.882352941176471,CC(C)(C)C1CCC2=C(C1)C(=NO2)C(=O)NC3=CN=CC=C3,CC(C)(C)C1CCc2onc(C(=O)Nc3cccnc3)c2C1
39,-4.764705882352941,COC1=C(C(=C(C=C1)NC(=O)CN2C3=C(C=C2C(=O)OC)SC=C3)OC)OC,COC(=O)c1cc2sccc2n1CC(=O)Nc1ccc(OC)c(OC)c1OC
40,-4.647058823529412,C1CC(=O)N(C1=O)C2=C(C=CC(=C2)Cl)OC(=O)C3=CC=CO3,O=C(Oc1ccc(Cl)cc1N1C(=O)CCC1=O)c1ccco1
41,-4.764705882352941,CCCN1N=C(N=N1)NC(=O)COC2=CC=C(C=C2)C3CCCCC3,CCCn1nnc(NC(=O)COc2ccc(C3CCCCC3)cc2)n1
42,-4.529411764705882,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)Cl,Cc1noc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)cc2)c1C
43,-4.411764705882353,C1CN(CCN1C/C=C/C2=CC=CC=C2)C3CC(=O)N(C3=O)CC4=CC=CS4,O=C1CC(N2CCN(C/C=C/c3ccccc3)CC2)C(=O)N1Cc1cccs1
44,1.5882352941176467,CC(=O)C1=C(NC(=C1)C2=CC=CC=C2)N3CCCC3,CC(=O)c1cc(-c2ccccc2)[nH]c1N1CCCC1
45,1.7058823529411766,CCOC(=O)C1=C(SC(=C1)C2=CC=CC=C2)N,CCOC(=O)c1cc(-c2ccccc2)sc1N
46,-4.882352941176471,CN(C)C1=NC(=NC(=N1)N)C2=NC3=CC=CC=C3S2,CN(C)c1nc(N)nc(-c2nc3ccccc3s2)n1
47,-2.0588235294117645,CN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)Cl,Cn1cnc2cc(NC(=O)c3ccc(Cl)cc3)ccc21
48,-4.411764705882353,C1=CC=C(C(=C1)C(=O)CC2(C3=CC=CC=C3N(C2=O)CC(=O)N)O)O,NC(=O)CN1C(=O)C(O)(CC(=O)c2ccccc2O)c2ccccc21
49,-5.0,CC(=O)C1=C(C2=CC=CC=C2N1C)OC(=O)C3=CC=CO3,CC(=O)c1c(OC(=O)c2ccco2)c2ccccc2n1C
50,-3.3529411764705883,CC1=NN=C(S1)SC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,Cc1nnc(SC(=O)N2c3ccccc3Sc3ccccc32)s1
51,-4.882352941176471,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
52,-5.0,CC1=CC=C(C=C1)OCC2=NC(=C(O2)NC3=CC=C(C=C3)OC)C#N,COc1ccc(Nc2oc(COc3ccc(C)cc3)nc2C#N)cc1
53,-4.764705882352941,C1=CC=C2C(=C1)C(=CC(=C2N)C(C(F)(F)F)(C(F)(F)F)O)C(C(F)(F)F)(C(F)(F)F)O,Nc1c(C(O)(C(F)(F)F)C(F)(F)F)cc(C(O)(C(F)(F)F)C(F)(F)F)c2ccccc12
54,-4.176470588235294,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)Cl)C,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2
55,-2.764705882352941,COC1=CC=CC(=C1)C(C(=O)NCC2=CC=CO2)N(CC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,COc1cccc(C(C(=O)NCc2ccco2)N(Cc2ccco2)C(=O)Cn2nnc3ccccc32)c1
56,-4.764705882352941,C1=CC=C2C(=C1)N=NN2CC(=O)N(CC3=CC=CS3)C(C4=CC=CO4)C(=O)NCC5=CC=CO5,O=C(NCc1ccco1)C(c1ccco1)N(Cc1cccs1)C(=O)Cn1nnc2ccccc21
57,0.6470588235294121,COC(=O)C1=C(SC(=C1)C2=CC=CC=C2)N,COC(=O)c1cc(-c2ccccc2)sc1N
58,-4.647058823529412,CCOC1=C(C(=CC(=C1)C(=O)N)Br)OC,CCOc1cc(C(N)=O)cc(Br)c1OC
59,-4.647058823529412,C[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCNC2=C(C=C(C=C2I)[N+](=O)[O-])C(=O)N1)C(=O)N)CC(=O)N,C[C@@H]1NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCCCC[C@@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O
60,-4.529411764705882,CC1=C(C(=NS1)S(=O)(=O)/C(=N/NC2=CC=CC(=C2)C(F)(F)F)/C#N)C#N,Cc1snc(S(=O)(=O)/C(C#N)=N/Nc2cccc(C(F)(F)F)c2)c1C#N
61,-4.176470588235294,CC(C1=NN=C(N1C)SCCOC2=CC=C(C=C2)OC)NC(=O)CC3=CC=C(C=C3)OC,COc1ccc(CC(=O)NC(C)c2nnc(SCCOc3ccc(OC)cc3)n2C)cc1
62,-5.0,COC1=C(C=C(C=C1)/C(=N/OC(=O)CSC2=CC=CC=C2)/N)OC,COc1ccc(/C(N)=N/OC(=O)CSc2ccccc2)cc1OC
63,-4.882352941176471,CC1=C(C(=CC=C1)NC(=S)NN2CCOCC2)C,Cc1cccc(NC(=S)NN2CCOCC2)c1C
64,-5.0,CC1=CC=C(C=C1)NC2=C(C(=O)N(N=C2)C34CC5CC(C3)CC(C5)(C4)CC(=O)O)Cl,Cc1ccc(Nc2cnn(C34CC5CC(CC(CC(=O)O)(C5)C3)C4)c(=O)c2Cl)cc1
65,-4.764705882352941,CC(C)CN(CCC(=O)O)CC(C)C,CC(C)CN(CCC(=O)O)CC(C)C
66,-3.1176470588235294,COC1=CC=C(C=C1)C(=O)OC2=CN=CC=C2,COc1ccc(C(=O)Oc2cccnc2)cc1
67,-0.2941176470588234,CC1CCC2=C(N1CC(=O)N3CCC4=C(C3)C5=C(N4)C=CC(=C5)C)C=CC(=C2)F,Cc1ccc2[nH]c3c(c2c1)CN(C(=O)CN1c2ccc(F)cc2CCC1C)CC3
68,-5.0,C1=CSC(=C1)C2=CSC(=N2)NC(=O)C3=CC=C(C=C3)Cl,O=C(Nc1nc(-c2cccs2)cs1)c1ccc(Cl)cc1
69,-5.0,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)C(C(F)(F)F)(C(F)(F)F)O)N,CCOC(=O)c1c(N)sc(C(O)(C(F)(F)F)C(F)(F)F)c1-c1ccccc1
70,1.2352941176470589,CC1=CC(=C(C(=C1C)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43)C)C,Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C
71,-5.0,CCOC(=O)C1=C(OC2=C1C3=C(C4=CC=CC=C42)OCN(C3)CC5=CC=CC=N5)C,CCOC(=O)c1c(C)oc2c1c1c(c3ccccc32)OCN(Cc2ccccn2)C1
72,-4.647058823529412,CC1=CC=C(C=C1)C2C3=C(NC4=C2C(=O)CC(C4)(C)C)ON=C3C,Cc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3onc(C)c32)cc1
73,-3.9411764705882355,CC(C1=CC(=C(C=C1)Cl)Cl)NC(=O)CCl,CC(NC(=O)CCl)c1ccc(Cl)c(Cl)c1
74,-5.0,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC4=CC=CC=C4N=C3,Cc1cc(Cl)ccc1OC(C)C(=O)Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1
75,-5.0,CC(C)CNS(=O)(=O)C1=CC=C(C=C1)CCC(=O)NC2=C(C=CC(=C2)Cl)OC3=CC=CC=C3,CC(C)CNS(=O)(=O)c1ccc(CCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)cc1
76,-3.4705882352941178,CC(C)C(=O)NC1=CC=CC(=C1)/C(=N/NC(=O)C2=CC(=C(C=C2)Cl)Cl)/C,C/C(=N\NC(=O)c1ccc(Cl)c(Cl)c1)c1cccc(NC(=O)C(C)C)c1
77,-5.0,COC1=CC=C(C=C1)C(=O)N2C3=CC4=C(C=C3N=C2SC)OCCO4,COc1ccc(C(=O)n2c(SC)nc3cc4c(cc32)OCCO4)cc1
78,-4.764705882352941,CC1=CC(=CC=C1)N2C(=O)CC(C2=O)N(CC3=C(N(N=C3C)C)C)C(=S)NC4=CC=C(C=C4)Cl,Cc1cccc(N2C(=O)CC(N(Cc3c(C)nn(C)c3C)C(=S)Nc3ccc(Cl)cc3)C2=O)c1
79,-4.882352941176471,C1=CC=C(C=C1)CNC(=S)NNC(=S)NC2=CC=CC(=C2)C(F)(F)F,FC(F)(F)c1cccc(NC(=S)NNC(=S)NCc2ccccc2)c1
80,-5.0,C1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)/C=C/[N+](=O)[O-],O=[N+]([O-])/C=C/c1cn(Cc2ccccc2)c2ccccc12
81,-5.0,C1=COC(=C1)C(=O)N(CC2=CC=C(C=C2)[N+](=O)[O-])C3=CC=C(C=C3)Br,O=C(c1ccco1)N(Cc1ccc([N+](=O)[O-])cc1)c1ccc(Br)cc1
82,-5.0,CNC1=C(N=C(O1)C2=CC=C(C=C2)Cl)P(=O)(C3=CC=CC=C3)C4=CC=CC=C4,CNc1oc(-c2ccc(Cl)cc2)nc1P(=O)(c1ccccc1)c1ccccc1
83,-4.882352941176471,CC1=CC(=CC=C1)C(=O)NC2=NN=C(S2)CC3=CNC4=CC=CC=C43,Cc1cccc(C(=O)Nc2nnc(Cc3c[nH]c4ccccc34)s2)c1
84,-4.882352941176471,C1=CC=C(C=C1)COC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC(=CC=C2)Cl,O=C(NC(NC(=S)Nc1cccc(Cl)c1)C(Cl)(Cl)Cl)OCc1ccccc1
85,-5.0,CC1=CC=C(C=C1)OCC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],Cc1ccc(OCC(=O)N/N=C/c2ccc([N+](=O)[O-])o2)cc1
86,-4.647058823529412,CC1=C(SC(=C1C(=O)C2=CC=CC=C2)NC(=O)CCl)C,Cc1sc(NC(=O)CCl)c(C(=O)c2ccccc2)c1C
87,-2.411764705882353,COC1=CC=C(C=C1)N(C(=O)CN2C3=CC=CC=C3N=N2)C4(CCCCC4)C(=O)NC5CCCC5,COc1ccc(N(C(=O)Cn2nnc3ccccc32)C2(C(=O)NC3CCCC3)CCCCC2)cc1
88,-4.882352941176471,CNC1=CC=C(C=C(C1=O)C(=O)/C=C/C2=CC3=C(C=C2)OCO3)Br,CNc1ccc(Br)cc(C(=O)/C=C/c2ccc3c(c2)OCO3)c1=O
89,-0.5294117647058822,CC1=CC(=C(C(=C1)C)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3)C,Cc1cc(C)c(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NC(C)(C)C)c2ccsc2)c(C)c1
90,-2.0588235294117645,COC1=CC=CC(=C1)C(C(=O)NC2=CC=C(C=C2)F)N(C3CC3)C(=O)CN4C5=CC=CC=C5N=N4,COc1cccc(C(C(=O)Nc2ccc(F)cc2)N(C(=O)Cn2nnc3ccccc32)C2CC2)c1
91,-4.411764705882353,C1=CC(=CC(=C1)NC(=O)NCCNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F)C(F)(F)F,O=C(NCCNC(=O)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)Nc1cccc(C(F)(F)F)c1
92,-4.764705882352941,CC1=CC(=C(C=C1)NC(=O)CCC(=O)NNC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C,Cc1ccc(NC(=O)CCC(=O)NNC(=O)C(c2ccccc2)c2ccccc2)c(C)c1
93,-4.411764705882353,CC(C)OC1=C(C=C(C(=C1)NC(=O)CSCC(=O)NC2=CC=CC(=C2)C(F)(F)F)Cl)Cl,CC(C)Oc1cc(NC(=O)CSCC(=O)Nc2cccc(C(F)(F)F)c2)c(Cl)cc1Cl
94,-5.0,C/C(=N\N=C(/N)\SC1CC(=O)N(C1=O)C2=CC=C(C=C2)Cl)/C3=CC=CS3,C/C(=N\N=C(/N)SC1CC(=O)N(c2ccc(Cl)cc2)C1=O)c1cccs1
95,-4.764705882352941,C/C(=N\NC(=O)C1=CC(=C(C=C1)Cl)Cl)/CN2N=C(N=N2)[N+](=O)[O-],C/C(Cn1nnc([N+](=O)[O-])n1)=N\NC(=O)c1ccc(Cl)c(Cl)c1
96,-4.882352941176471,C/C(=N\N=C(/N)\SC1CC(=O)N(C1=O)C2=CC(=CC=C2)Cl)/C3=CC=CS3,C/C(=N\N=C(/N)SC1CC(=O)N(c2cccc(Cl)c2)C1=O)c1cccs1
97,-3.4705882352941178,CC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3,Cc1ccc(/C=C/C(=O)c2cc(Br)ccc2OC(=O)c2ccco2)cc1
98,-4.882352941176471,C1=CC=C(C(=C1)C(=O)NC2=CC(=C(C=C2)OCC(C(F)F)(F)F)C(F)(F)F)O,O=C(Nc1ccc(OCC(F)(F)C(F)F)c(C(F)(F)F)c1)c1ccccc1O
99,-4.647058823529412,COC1=CC=CC=C1/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3,COc1ccccc1/C=C/C(=O)c1cc(Br)ccc1OC(=O)c1ccco1
100,-4.176470588235294,C1=CC(=CN=C1)CNC(=O)/C=C/C2=CC(=C(C=C2)Cl)[N+](=O)[O-],O=C(/C=C/c1ccc(Cl)c([N+](=O)[O-])c1)NCc1cccnc1
101,-5.0,CC1=CC(=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)C2=CC=CC=C2C)C,Cc1ccc(NC(=S)NC(NC(=O)c2ccccc2C)C(Cl)(Cl)Cl)c(C)c1
102,-3.5882352941176467,C1=CC=C(C(=C1)/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3)F,O=C(Oc1ccc(Br)cc1C(=O)/C=C/c1ccccc1F)c1ccco1
103,-1.2352941176470589,C1=CC(=C(C(=C1)Cl)CC(=O)NCCCN2C=CN=C2)F,O=C(Cc1c(F)cccc1Cl)NCCCn1ccnc1
104,-4.294117647058823,CN(C1=C(C=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)F)OC)S(=O)(=O)C3=CC=C(C=C3)Cl,COc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1N(C)S(=O)(=O)c1ccc(Cl)cc1
105,-1.3529411764705883,COC1=CC(=CC(=C1OC)OC)/C=N\NC(=O)CN2C3=CC=CC=C3N=N2,COc1cc(/C=N\NC(=O)Cn2nnc3ccccc32)cc(OC)c1OC
106,-4.882352941176471,CC1=CC=C(C=C1)NC(CNS(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3,Cc1ccc(NC(CNS(=O)(=O)c2ccc(Cl)cc2)c2ccccc2)cc1
107,-4.764705882352941,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(=S)NC3=CC=CC(=C3)C(=O)O,O=C(O)c1cccc(NC(=S)NC(=O)C(c2ccccc2)c2ccccc2)c1
108,-4.882352941176471,COC1=CC=CC=C1N(CC(=O)NC2=CC(=C(C=C2)Cl)C(=O)OC)S(=O)(=O)C3=CC=CC=C3,COC(=O)c1cc(NC(=O)CN(c2ccccc2OC)S(=O)(=O)c2ccccc2)ccc1Cl
109,-5.0,CS(=O)(=O)N(CC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2SC3=CC=CC=C3)C4=CC=CC=C4,CS(=O)(=O)N(Cc1ccc(C(=O)Nc2ccccc2Sc2ccccc2)cc1)c1ccccc1
110,-4.882352941176471,CCC(C1=CC=CC=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F,CCC(C(=O)Nc1cccc(C(F)(F)F)c1)c1ccccc1
111,-4.764705882352941,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C3=CC=CC=C3NS(=O)(=O)C4=CC=C(C=C4)C,Cc1ccc(S(=O)(=O)Nc2ccccc2-c2ccccc2NS(=O)(=O)c2ccc(C)cc2)cc1
