smiles,group,SkinSen
O=C(OCC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)C=C4)CC3)=CC2)CC1C)C,training,0.0
Brc1c(C(=O)c2c(O)cc(OC)cc2)cc(OCCC)cc1,training,0.0
O=CC(=CC)C,training,0.0
P(c1ccccc1)(c1ccccc1)(c1ccccc1)=C1C(=O)N(c2ccccc2)CC1,training,0.0
S(CC(=O)OC1C2(C)C(C)CCC3(C(C)C(O)C(C=C)(C)C1)C2C(=O)CC3)C1CC2N(C)C(C1)CC2,training,0.0
O(CC)Cc1cc(OC)c(B(O)O)c(OC)c1,training,0.0
O=C(CC(=O)c1ccc(CCCC)cc1)c1c(C)c(C)c(C)c(C)c1,training,0.0
NN1NC=CC=C1,training,0.0
O=C(C(C)(C)C)CC(=O)c1cc(OC)c(OC)c(OC)c1,training,0.0
S(=O)(=O)(C)c1ccc(CC(=O)c2ccc(OCC)cc2)cc1,training,0.0
FC1CN(C(OC(C)(C)C)=O)C(C(=O)O)C1,training,0.0
O=C(OC(C)(C)C)NC(Cc1ccc(OCc2nc(C)sc2)cc1)C1OC1,training,0.0
Fc1ccc(C(C(NC(=O)OC(C)(C)C)C(=O)N2C(C#N)CC(F)C2)c2ccc(F)cc2)cc1,training,0.0
S=C1NC(=O)C2=C(N1)CCC2,training,0.0
O=C(CC(=O)c1c(C)ccc(C)c1)c1c(C)ccc(C)c1,training,0.0
O=C1N(C)C(C)C(c2ccccc2)N1,training,0.0
O=C(C=Cc1c(C(=O)c2c(OCc3ccccc3)cc(OC)cc2)cc(OCCC)cc1)N1C(=O)N(C)C(C)C1c1ccccc1,training,0.0
O(C)c1c(OC2CCCC2)cc(C2(C#N)CCC(=O)CC2)cc1,training,0.0
FC(F)(F)c1cc(C(F)(F)F)cc(C(NC)C)c1,training,0.0
Fc1ccc(Cc2oc(C(=O)C)cc2)cc1,training,0.0
NC(CC)c1ccccc1,training,0.0
S(=O)(=O)(C)c1ccc(-c2c(-c3ccc(OCC)cc3)nn3N=CC=Cc23)cc1,training,0.0
O=C(CCCN1C(=O)c2c(C1=O)cccc2)C,training,0.0
S(=O)(=O)(N(CC(O)C(NC(=O)OC1C2C(OC1)OCC2)Cc1ccc(OCc2nc(C)sc2)cc1)CC(C)C)c1cc2OCOc2cc1,training,0.0
O=C(N(C(C)C)c1ccccc1)CN1C(=O)C(=NOCc2ccccc2)C(=O)N(c2ccccc2)c2c1cccc2,training,0.0
Nc1cc2nn(C)c(C)c2cc1,training,0.0
FC(F)(F)c1cc(Oc2c(OC)cc(N)c3nc(OC)cc(C)c23)ccc1,training,0.0
O=C(O)C(=NOCc1ccccc1)C(=O)O,training,0.0
O=C(C)C1C(=O)CCCC1,training,0.0
S(=O)(=O)(CCN)C,training,0.0
Brc1c(C(=O)O)cc(OCCC)cc1,training,0.0
O=C(OCC(O)C)C(=C)C,training,0.0
O=C(C(N1C(=O)C(C2Cc3c(cccc3)C2)NC(=O)C1C(CC)C)c1nc(C)oc1)N1CCOCC1,training,0.0
BrCCCCCCOCCCCc1cc(S(=O)(=O)N)ccc1,training,0.0
O=C(O)c1c(O)c(-c2ccccc2)nc2c1cccc2,training,0.0
O=Cc1cc(O)c(OC)cc1,training,0.0
C(C)(C)C1C=CC(C)CC1,training,0.0
O=C(O)c1cc(OCCC)ccc1,training,0.0
FC(F)(F)c1ccc(-c2ccc(C=O)cc2)cc1,training,0.0
O=C(O)C1CCC(C#N)(c2cc(OC3CCCC3)c(OC)cc2)CC1,training,0.0
FC1CC(C(=O)N)NC1,training,0.0
O=C(O)c1ccc(O)cc1,training,0.0
C(=C)(C)C1CC(=C)C(C)CC1,training,0.0
C(C)(C)C1CCC(=C)CC1,training,0.0
S(=O)(=O)(N)c1c(C)ccc(Nc2nc(N(C)c3cc4nn(C)c(C)c4cc3)ccn2)c1,training,0.0
S(=O)(=O)(N)c1c(C)ccc(N)c1,training,0.0
Clc1c(OC)ccc2nc(OC)cc(C)c12,training,0.0
FC(F)(F)c1c(C)cc2c(NCC2)c1,training,0.0
O=C(OC1C2(C)C(C)CCC3(C(C)C(O)C(C=C)(C)C1)C2C(=O)CC3)CO,training,0.0
O=C1Oc2c(cc(C)cc2)C=C1,training,0.0
O=C(O)CCCCC(=O)O,training,0.0
O=C(O)c1c(N)cccc1,training,0.0
Clc1nc(NC(C)C)nc(NCC)n1,training,0.0
O=Cc1ccccc1,training,0.0
O=C(OCC)c1ccc(N)cc1,training,0.0
BrCCCCCCCCC,training,0.0
C(C)(C)C1=CCC(=C)CC1,training,0.0
OCCCC,training,0.0
Clc1ccccc1,training,0.0
ClCCCCCCCCC,training,0.0
O(C)C1(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C(C)C(=O)OC(CC)C(O)(C)C(O)C(C)C(=O)C(C)C1,training,0.0
O=C1Oc2c(cccc2)C=C1,training,0.0
O=C1N=C(N)C=CN1,training,0.0
O=C(OCC)c1c(C(=O)OCC)cccc1,training,0.0
O=C(OC)CCC(C#N)(CCC(=O)OC)c1cc(OC2CCCC2)c(OC)cc1,training,0.0
O=C(OC)OC,training,0.0
O(N=C(C(=O)OCC)c1nc(NC(c2ccccc2)(c2ccccc2)c2ccccc2)sc1)C(C(=O)OC(C)(C)C)(C)C,training,0.0
O=C(OCC)c1[nH]cnn1,training,0.0
Clc1c(F)cc(C(=O)CC(=O)OCC)c(Cl)n1,training,0.0
O=C(OCC)CC(=O)c1ccccc1,training,0.0
O=C(C(=O)c1occc1)c1occc1,training,0.0
OC(CO)CO,training,0.0
C(CCC)CC,training,0.0
ICCCCCC,training,0.0
OC(C)C,training,0.0
N#CN(C#N)C(C)C,training,0.0
O(C(C)C)c1c(O)ccc(CC=C)c1,training,0.0
O(C1C(O)C(OC2C(O)C(N)C(O)C(CO)O2)C(N)CC1N)C1C(O)C(O)C(O)C(CN)O1,training,0.0
O=C(O)C(O)C,training,0.0
Clc1cc(C(=O)CC)ccc1,training,0.0
O=C(OC)c1c(O)cccc1,training,0.0
Clc1nc(Nc2cc3nn(C)c(C)c3cc2)ccn1,training,0.0
Clc1nc(N(C)c2cc3nn(C)c(C)c3cc2)ccn1,training,0.0
O=C(NCC1CCN(CCCC)CC1)c1c2c(n3c1OCCC3)cccc2,training,0.0
Fc1ccc(C(C(NC(=O)OC(C)(C)C)C(=O)O)c2ccc(F)cc2)cc1,training,0.0
O=C(O)CCCCCCC,training,0.0
Clc1c(Oc2cc(OCC)c([N+](=O)[O-])cc2)ccc(C(F)(F)F)c1,training,0.0
O=C(OCC(COC(=O)C=C)(COC(=O)C=C)CO)C=C,training,0.0
Fc1cc(C)c(C2N(C(=O)OCc3ccccc3)C=CC(=O)C2)cc1,training,0.0
O=C(OCCC)c1ccc(O)cc1,training,0.0
Clc1c2c(Oc3ccc(F)cc3)ccnc2cc(Cl)c1,training,0.0
O=C(OC1C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)Nc2c(O)c3c(O)c(C)c4OC(C)(C(=O)c4c3c(O)c2)OC=CC(OC)C1C)C,training,0.0
O=S1(=O)NC(=O)c2c1cccc2,training,0.0
O=C(O)CCC(=O)O,training,0.0
S(=O)(=O)(N)c1ccc(N)cc1,training,0.0
S(=O)(=O)(O)c1ccc(N)cc1,training,0.0
O=C(O)C(O)C(O)C(=O)O,training,0.0
O(C(C)(C)C)C(=O)c1cc(N)ccc1,training,0.0
O=C(OCC(COC(=O)C=C)(COC(=O)C=C)CC)C=C,training,0.0
O=Cc1cc(OC)c(O)cc1,training,0.0
ClC(Cl)=C,training,0.0
O=CC=CCCCCCCC,training,1.0
O(C)c1ccc(C=CC)cc1,training,1.0
O=C(CC(=O)c1ccccc1)CCCCC,training,1.0
O=C(CC(=O)c1c(CC)ccc(CC)c1)C,training,1.0
O=C1NSc2c1cccc2,training,1.0
BrC(C#N)(CBr)CCC#N,training,1.0
O=C(C=C)N1C(=O)N(C)C(C)C1c1ccccc1,training,1.0
O(CCCCCCOCC1OC1)CC1OC1,training,1.0
BrCCCCCCCCCCCCO,training,1.0
O=C1C2Oc3c(O)ccc4c3C32C(O)(C=C1)C(NCC3)C4,training,1.0
Clc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,training,1.0
ClCCCCCCCCCCCCCCCCCC,training,1.0
ICCCCCCCCCC,training,1.0
O=[N+]([O-])NC(N(N=O)C)=N,training,1.0
Oc1c2c(ccc1)cccc2,training,1.0
O=[N+]([O-])c1c(NCCO)ccc(N)c1,training,1.0
O=CC=CCCC,training,1.0
O(CCO)c1c(N)cc(N)cc1,training,1.0
O=C(CN(C(C)(C)C)Cc1ccccc1)c1cc(CO)c(O)cc1,training,1.0
Brc1c(C=O)cc(O)cc1,training,1.0
O=C(OCCO)C=C,training,1.0
Sc1sc2c(n1)cccc2,training,1.0
O(C)c1c(O)ccc(C)c1,training,1.0
O=CC(CCCCCCCCC)C,training,1.0
Clc1c(Cl)ccc(N)c1,training,1.0
ClC(=O)CC(CC(C)(C)C)C,training,1.0
BrCC1C(=O)OC(C)(C)C1,training,1.0
N(CCCN)(C)C,training,1.0
Fc1cc(N)cc(-c2cnccc2)c1,training,1.0
O(C)c1c(O)cc(CC=C)cc1C,training,1.0
FC(F)(F)C(=O)CC(=O)c1ccccc1,training,1.0
O(C)c1ccc(CC=C)cc1,training,1.0
Oc1ccc(NC)cc1,training,1.0
Nc1ccc(N)cc1,training,1.0
Oc1c(C)ccc(N)c1,training,1.0
ClC=1SN(C)C(=O)C=1,training,1.0
O=C(C(=O)C)CC(C)C,training,1.0
O(C)C=1C(=O)CCC(CC=C)(C)C=1,training,1.0
OCCCCCCN(CC)CC,training,1.0
O=CCCCCC=CCC,training,1.0
O(C)c1c(O)c(C)cc(CC=C)c1,training,1.0
O=CC(=Cc1ccccc1)CCCCC,training,1.0
O=CC(=Cc1ccccc1)CCCC,training,1.0
O=CC(=Cc1ccccc1)CCCCCC,training,1.0
O=CC(=Cc1ccccc1)C,training,1.0
O=CC(C)c1ccccc1,training,1.0
Nc1ccccc1,training,1.0
BrCc1ccccc1,training,1.0
O=C(C=Cc1ccccc1)C,training,1.0
O(CC1OC1)c1ccc(C(C)(C)c2ccc(OCC3OC3)cc2)cc1,training,1.0
C(C)(C)C1C=CC(=C)CC1,training,1.0
BrCCCCCCCCCCCCCCCCCCCCCC,training,1.0
BrCCCCCCCCCCCCCCCCCCCC,training,1.0
BrCCCCCCCCCCCCCCCCC,training,1.0
BrCCCCCCCCCCCCCCCC,training,1.0
BrCCCCCC,training,1.0
BrCCCCCCCCCCCCCCCCCC,training,1.0
BrCCCCCCCCCCCCCCC,training,1.0
BrCCCCCCCCCCCCCC,training,1.0
BrCCCCCCCCCCCCC,training,1.0
O=C(OCCCC)C=C,training,1.0
O(CCCC)CC1OC1,training,1.0
O=C1C(C)(C)N=C(CCCCCCCCCCC)O1,training,1.0
ClCCCCCCCCCCCCCC,training,1.0
O=CC=C(CCC=C(C)C)C,training,1.0
ClCCCCCCCCCCCCCCCC,training,1.0
S(=O)(=O)(OCC)OCC,training,1.0
O=CC(CC)CC,training,1.0
N(CCN)CCN,training,1.0
O(C)c1c(O)ccc(CCC)c1,training,1.0
O=[N+]([O-])c1c(OC(=O)C=CC)c(C(CCCCCC)C)cc([N+](=O)[O-])c1,training,1.0
N(CCCN)CCCN,training,1.0
S(=O)(=O)(OCCCCCCCCCCCC)C,training,1.0
O=C(OCC)CC1CC2N(C)C(C1)CC2,training,1.0
O=C(OCC)C=C,training,1.0
OC(C(CO)CO)CC,training,1.0
O=C(OCCOC(=O)C(=C)C)C(=C)C,training,1.0
O=C(O)C(=C)C,training,1.0
O=CCC(CCCC(O)(C)C)C,training,1.0
ICCCCCCCCCCCC,training,1.0
ICCCCCCCCCCCCCCCC,training,1.0
O(C)c1c(O)ccc(C=CC)c1,training,1.0
ClC(=O)CCCCCC(C)C,training,1.0
O(C(C)C)c1c(O)ccc(C=CC)c1,training,1.0
O=C(OC(C)C)CCCCCCCCCCCCC,training,1.0
O=C(OCCCCCCCCCCCC)c1cc(O)c(O)c(O)c1,training,1.0
O=C(O)CCCCCCCC=CCC=CCCCCC,training,1.0
O=C(OC)C#CCCCCCC,training,1.0
O=C(OC)C=C,training,1.0
S(=O)(=O)(OC)C=CCCCCCCCCCCCCCC,training,1.0
O=C(OC)C(=C)C,training,1.0
N(C)c1cc(NC)ccc1,training,1.0
O=C(Nc1ccc(OC)cc1)CC(=O)C,training,1.0
ClC(=O)CCCCCCCC,training,1.0
OCCCCCCCC,training,1.0
O=C(O)CCCCCCCC=CCCCCCCCC,training,1.0
O(C=C1C(=O)OC(c2ccccc2)=N1)CC,training,1.0
ClC(=O)CCCCCCCCCCCCCCC,training,1.0
O=C(Oc1ccccc1)c1ccccc1,training,1.0
Oc1cc(O)ccc1,training,1.0
NC(C(CCCCN)C)(C)C,training,1.0
O=C(O)CCCCCCCCC=C,training,1.0
O=Cc1cc(OC)c(OC)cc1,training,1.0
O=C(O)C(=Cc1c(C=O)cc(O)cc1)CC(=O)O,training,1.0
O=C(CC(=O)c1c(C)c(C)c(C)c(C)c1)C,training,1.0
O=C(C=Cc1ccc(OC)cc1)CC,training,1.0
O=C(Nc1cc(C(OC(C)(C)C)=O)ccc1)NC1C(=O)N(CC(=O)N(C(C)C)c2ccccc2)c2c(N(c3ccccc3)C1=O)cccc2,training,1.0
NC1C(N)CCCC1,training,1.0
ClS(=O)(=O)c1cc2OCOc2cc1,training,1.0
Oc1ccc(O)cc1,training,1.0
ClCc1c2c3c4c(cc2)cccc4ccc3cc1,training,1.0
O=C(C(=O)c1ccccc1)C,training,1.0
O=C(C(C(=O)c1ccccc1)C)C,training,1.0
O=C1N(c2cc(C)c(C)cc2)NC(C)=C1,training,1.0
O=CCC1CCC(C(CC)(C)C)CC1,training,1.0
O=C(C(C)(C)C)CC(=O)C(C)(C)C,training,1.0
O=C(OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1)C(=C)C,training,1.0
Clc1nc(Cl)ccn1,training,1.0
O=CC=CC=CCC,training,1.0
Nc1c(C)cc(N)cc1,training,1.0
FC(F)(F)c1cc(Oc2c(OC)cc([N+](=O)[O-])c3nc(OC)cc(C)c23)ccc1,training,1.0
Clc1c(O)c(N)cc([N+](=O)[O-])c1,training,1.0
N(c1c(N)cccc1)c1ccccc1,training,1.0
BrC(C(=O)O)CCCCCCCCCCCC,training,1.0
Clc1c(OCc2cc(F)ccc2)ccc([N+](=O)[O-])c1,training,1.0
O=C1OC(C)=Nc2c1cccc2,training,1.0
OCCNc1cc(O)c(C)cc1,training,1.0
Clc1c(O)c(C(=O)Nc2cc(Cl)c(Cl)cc2)cc(Cl)c1,training,1.0
O=C1Oc2c(cccc2)CC1,training,1.0
NCC1(C)CC(C)(C)CC(N)C1,training,1.0
Oc1cc(N)ccc1,training,1.0
ClC(=O)c1cc(Cl)c(F)cc1,training,1.0
O=C(OCC)CC(=O)c1c(C)c(C)c(C)c(C)c1,training,1.0
O=S1(=O)N=C(c2ccccc2)C(=C)N1,training,1.0
O(C)c1c(C)c(C=CC)ccc1O,training,1.0
BrCc1ccc(C(=O)OCC)cc1,training,1.0
S(=O)(=O)(NCCN(CC)c1cc(C)c(N)cc1)C,training,1.0
O=CC1CC=C(CCCC(O)(C)C)CC1,training,1.0
BrC1(Br)C=CC(C(=O)C(=O)c2ccccc2)=CC1,training,1.0
BrC(CCCN1C(=O)c2c(C1=O)cccc2)C,training,1.0
IC(CCCN1C(=O)c2c(C1=O)cccc2)C,training,1.0
C(=C)(C)C1CC(=C)C(C)=CC1,training,1.0
O=C1C(=C)CC(C)(C)O1,training,1.0
Clc1cc([N+](=O)[O-])c(O)c(-c2cc(C(=O)O)ccc2)c1,training,1.0
Clc1c(OC)cc([N+](=O)[O-])c2nc(OC)cc(C)c12,training,1.0
Clc1c(OC)cc([N+](=O)[O-])c2NC(=O)C=C(C)c12,training,1.0
FC(F)(F)c1c(OC)cc2c(NCC2)c1,training,1.0
O(c1c(C)nccc1)c1ncc(N)cc1,training,1.0
BrCCCCCCN(CC)CC,training,1.0
Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,training,1.0
Fc1c(N2CC(=NOC)C(CN)C2)nc2N(C3CC3)C=C(C(=O)O)C(=O)c2c1,training,1.0
BrC(CCCCCCC)CCCCCC,training,1.0
O=C(O)C1(C)C2C(C)(C3C(C=C(C(C)C)CC3)=CC2)CCC1,training,1.0
C(C)(C)C1C=CC(C)=CC1,training,1.0
C(C)(C)C1=CC=C(C)CC1,training,1.0
c12c3c4ccc1c1c(cc2ccc3ccc4)cccc1,training,1.0
O=C1C=CC(=O)C=C1,training,1.0
O=C1OCC1,training,1.0
O=C1C(C)(C)N=C(CCCCCCCCCCCCCCC)O1,training,1.0
O=C1C(C)(C)N=C(CCCCCC)O1,training,1.0
O=C1C(C)(C)N=C(CCCCCCCCC)O1,training,1.0
O=NC1=C(C)CCC(C(=C)C)C1,training,1.0
Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,training,1.0
Clc1c(C(n2cncc2)(c2ccccc2)c2ccccc2)cccc1,training,1.0
N(=C=NC1CCCCC1)C1CCCCC1,training,1.0
O=C(OCC)C=CC(=O)OCC,training,1.0
O(C)c1c(O)cc(CCC)cc1,training,1.0
S(=O)(=O)(OC)OC,training,1.0
[SH0](=O)(C)C,training,1.0
S(=O)(=O)(OC1CC2N(C)C(C1)CC2)C,training,1.0
Ic1ccc(C(=O)OCC)cc1,training,1.0
NCCN,training,1.0
O=CC=C(CCC=C(CCC=C(C)C)C)C,training,1.0
OCC=C(CCC=C(C)C)C,training,1.0
O=CCCCC=O,training,1.0
SCC(=O)OCC(O)CO,training,1.0
OCCNCCN,training,1.0
O=C(NCNC(=O)NC1N(CO)C(=O)NC1=O)NC1N(CO)C(=O)NC1=O,training,1.0
S(=O)(=O)(OCCCCCCCCCCCC)O,training,1.0
O=C(O)CCCCCCCC=CCC=CCC=CCC,training,1.0
S(=O)(=O)(OC)CCCCCCCCCCCC,training,1.0
S(=O)(=O)(OC)C,training,1.0
O=C(OC)C(=O)C,training,1.0
S(=O)(=O)(O)CC(C(=O)OC)CCCCCCCCCCCCCCCC,training,1.0
NCc1cc(CN)ccc1,training,1.0
Clc1c(Cl)ccc(NC(N(C(=N)N)C(C)C)=N)c1,training,1.0
S(Cc1ccc(F)cc1)C=1N(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C2=C(C(=O)N=1)CCC2,training,1.0
O=NN(C(=O)N)CC,training,1.0
O=C(N(C(C)C)c1ccccc1)CNc1c(Nc2ccccc2)cccc1,training,1.0
O=NN(C(=O)N)C,training,1.0
O(C)C=1C2Oc3c(O)ccc4c3C32C(=CC=1)C(N(C)CC3)C4,training,1.0
O=C(O)C(=O)O,training,1.0
O=C1OC=CN1,training,1.0
O=C(NC1C(=O)N2C(C(=O)O)C(C)(C)SC12)Cc1ccccc1,training,1.0
Clc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,training,1.0
O=CC1=CCC(C(=C)C)CC1,training,1.0
O=CCc1ccccc1,training,1.0
O=CC(Cc1ccc(C(C)(C)C)cc1)C,training,1.0
O(CC1OC1)c1ccc(C(C)(C)C)cc1,training,1.0
n1ccccc1,training,1.0
O=C1C(C)=CCC(C(=C)C)C1,training,1.0
O=[N+]([O-])c1ccc(OC(=O)OC2C3C(OC2)OCC3)cc1,training,1.0
S=C(S)OCC,training,1.0
O=C(OC(C(=O)O)C)C(OC(=O)CCCCCCCCCCC)C,training,1.0
S(=O)(=O)(O)c1ccc(OC(=O)CC(CC(C)(C)C)C)cc1,training,1.0
C(=CCCC(=CCCC=C(CCC=C(CCC=C(C)C)C)C)C)(CCC=C(C)C)C,training,1.0
S(SC(=S)N(C)C)C(=S)N(C)C,training,1.0
FC(F)(F)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,training,1.0
O=CCCCCCCCCC=C,training,1.0
C(=C)c1ccncc1,training,1.0
O=[N+]([O-])c1c(N)ccc(NN=C2C(=O)C=Cc3c2cc([N+](C)(C)C)cc3)c1,training,0.0
Clc1ccc(OC(C(=O)OCC)(C)C)cc1,training,0.0
O=C(O)CCCCCCCC,training,0.0
O=CC1(O)C(OC2C(NC)C(O)C(O)C(CO)O2)C(OC2C(O)C(O)C(NC(=N)N)C(O)C2NC(=N)N)OC1C,training,0.0
Oc1cc(C)c(N)cc1,training,1.0
O=C(O)Cc1ccc(C(=O)O)cc1,training,1.0
O=C1N(c2ccccc2)NC(C)=C1,training,1.0
O=C1c2c(N)ccc(N)c2C(=O)c2c1cccc2,training,1.0
O=[N+]([O-])c1c(N)ccc(N(CO)CCO)c1,training,1.0
O=C1OC(=O)C=C1,training,1.0
O=Nc1ccc(N(C)C)cc1,training,1.0
O=C1OC(=O)c2c1cccc2,training,1.0
O=C(OCCC)c1cc(O)c(O)c(O)c1,training,1.0
C(C=CCC(C)C)(=C)CC,test,0.0
Fc1c(F)cc(CCC(=O)O)cc1OCC(O)CNC(CC1Cc2c(cccc2)C1)(C)C,test,0.0
O=C(N1C(=O)N(C)C(C)C1c1ccccc1)C1C(O)(c2c(OCc3ccccc3)cc(OC)cc2)c2c(C1c1cc3OCOc3cc1)ccc(OCCC)c2,test,0.0
O=C(N(C(C)C)c1ccccc1)CN1C(=O)C(N)C(=O)N(c2ccccc2)c2c1cccc2,test,0.0
O=C(O)c1ccc(Oc2ccc(CN3CCC4(N(CCCC)C(=O)C(C(O)C5CCCCC5)NC4=O)CC3)cc2)cc1,test,0.0
ClCCCCCCO,test,0.0
O(C)c1cc(N)c2nccc(C)c2c1,test,0.0
O(C)c1c(-c2ccccc2)cc(Nc2ccc(CCNCC(O)c3c4c(c(O)cc3)NC(=O)C=C4)cc2)cc1,test,0.0
O=Cc1cc(OCC)c(O)cc1,test,0.0
ICCCCCCCCCCCCCCCCCC,test,0.0
O=C(OC)c1ccc(O)cc1,test,0.0
BrCC(O)c1cc(NC=O)c(OCc2ccccc2)cc1,test,0.0
OC(CO)C,test,0.0
O=C(CC(=O)c1c(C)ccc(C)c1)C,test,1.0
Brc1ccc(C(OCCN(C)C)(C)c2ccccc2)cc1,test,1.0
Oc1c(N)cccc1,test,1.0
O=C(OCC(CCCC)CC)C=C,test,1.0
O=[N+]([O-])c1c(N)ccc(N)c1,test,1.0
S(=O)(=O)(O)c1c(C(CCNC(=O)CCCCCCCC)CCC(=O)O)cccc1,test,1.0
O(C)c1c(O)cc(C)c(CC=C)c1,test,1.0
O=C(OCc1ccccc1)c1ccccc1,test,1.0
BrCCCCCCCCCCC,test,1.0
O=C1C(C)(C)N=C(CCCC)O1,test,1.0
OCC=Cc1ccccc1,test,1.0
O=CC=Cc1ccccc1,test,1.0
O=CC(Cc1ccc(C(C)C)cc1)C,test,1.0
O(C)c1c(O)ccc(CC=C)c1,test,1.0
ICCCCCCCCC,test,1.0
ICCCCCCCCCCCCCC,test,1.0
C(=C)(C)C1CC=C(C)CC1,test,1.0
O=CC(=CCCC(O)(C=C)C)C,test,1.0
BrCCCCCCCCCCCC(=O)O,test,1.0
Ic1cc2c(Cl)ncnc2cc1,test,1.0
BrCc1ccc([N+](=O)[O-])cc1,test,1.0
O(C)C1(C)C(O)C(C)OC(OC2C(C)C(=O)OC(CC)C(O)(C)C(O)C(C)N(C)CC(C)CC(O)(C)C(OC3C(O)C(N(C)C)CC(C)O3)C2C)C1,test,1.0
O=CC=O,test,1.0
S(=O)(=O)(OCCCCCCCCC=CCCCCCCCC)C,test,1.0
O=CCCc1ccc(C)cc1,test,1.0
O=C1C(c2ccccc2)=C1c1ccccc1,test,1.0
O=C1C(=O)C(O)=C1O,test,1.0
FC1CN(C(OC(C)(C)C)=O)C(C(=O)N)C1,val,0.0
Fc1ccc(C(C(N)C(=O)N2C(C#N)CC(F)C2)c2ccc(F)cc2)cc1,val,0.0
OC(CN(C(C)(C)C)Cc1ccccc1)c1cc(CO)c(O)cc1,val,0.0
FC(F)(F)c1cc(Oc2c(OC)cc(NC(CCCN3C(=O)c4c(C3=O)cccc4)C)c3nc(OC)cc(C)c23)ccc1,val,0.0
Clc1nc2c(c(C)c1)cc(OC)cc2,val,0.0
O=C(C)c1ccc(OC)cc1,val,0.0
FC(F)(F)c1c(OC)cc(CC#N)c([N+](=O)[O-])c1,val,0.0
Ic1cc2C(=O)NC=Nc2cc1,val,0.0
O(C)c1cc2C(C)=CC(=O)Nc2cc1,val,0.0
BrCCCC,val,0.0
O=C(O)C=CC(=O)O,val,0.0
O=C(OC(C)(C)C)NC(C(=O)OCC)Cc1ccc(O)cc1,val,0.0
O=C(O)c1c(O)cccc1,val,0.0
O(C)c1c(O)c(C)cc(C=CC)c1,val,1.0
O=C(O)c1cc2C(=O)OC(=O)c2cc1,val,1.0
O=CC=C(c1ccccc1)c1ccccc1,val,1.0
BrCCCCCCCCCCCC,val,1.0
S=C=Nc1cc2C(=O)OC3(c2cc1)c1c(Oc2c3ccc(O)c2)cc(O)cc1,val,1.0
FOC1=C2CC(C1)CC2,val,1.0
O=CC=CC=CC,val,1.0
OC1CC2N(C)C(C1)CC2,val,1.0
Clc1nc(Cl)nc(Cl)n1,val,1.0
S(=O)(=O)(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,val,1.0
O=CC1=C(C)C=CCC1(C)C,val,1.0
Nc1cc(N)ccc1,val,1.0
O=C1OC(=CCC)c2c1cccc2,val,1.0
S(C#N)c1cc([N+](=O)[O-])c(N)cc1,val,1.0
O=CC(=CCC(C)C)c1ccccc1,val,1.0
Clc1[nH]c2C(=O)NC(=O)N(CCCCC)c2n1,val,1.0
N(c1ccc(N)cc1)=C1C(=N)CC(=Nc2ccc(N)cc2)C(=N)C1,val,1.0
[N+](CCCCCCCCCCCCCC)(Cc1ccccc1)(C)C,val,1.0
O=C(C(=O)C)C,val,1.0
O=C1C(C)(C)N=C(CCCCCCCCCCCCCCCCC)O1,val,1.0
O=C(OC(C(COC(=O)C=C)COC(=O)C=C)CC)C=C,val,1.0
ICC#COC(=O)NCCCC,val,1.0
O(C(C)C)c1c(OC)cc(C=CC)cc1,val,1.0
BrCc1ccc(C(=O)OC)cc1,val,1.0
S(=O)(=O)(OC)CCCCCCCCCCCCCCCC,val,1.0
O=C1OC(=O)C2C1CCCC2,val,1.0
Oc1c(O)cccc1C,val,1.0
O(OC(=O)c1ccccc1)C(=O)c1ccccc1,val,1.0
